,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,8.0,396.0,30.0,76.0,266.0,161.0,48.0,82.0,726.0,40.0,272.0,1439.0,366.0,40.0,282.143
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.799,0.997,0.994,0.915,0.998,1.0,0.992,0.897,0.779,0.973,0.851,0.943,0.961,0.901
PA,0.703,0.556,0.971,0.843,0.44,0.991,0.408,0.994,0.46,0.722,0.584,0.225,0.746,0.948,0.685
FGA,0.737,0.793,0.949,0.897,0.876,0.959,1.0,0.91,0.831,0.923,0.85,0.816,0.872,0.791,0.872
PTA,0.875,0.497,0.8,0.829,0.523,0.826,0.875,0.841,0.368,0.9,0.537,0.368,0.642,0.7,0.684
RTA,0.636,0.583,0.828,0.708,0.589,0.853,0.875,0.932,0.427,0.947,0.619,0.426,0.734,0.609,0.698
FTA,0.737,0.537,0.814,0.764,0.554,0.839,0.875,0.885,0.395,0.923,0.575,0.395,0.685,0.651,0.688
