,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,8.0,402.0,30.0,76.0,277.0,160.0,48.0,95.0,733.0,40.0,272.0,1417.0,359.0,40.0,282.643
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.796,0.997,0.994,0.921,0.998,1.0,0.991,0.869,0.779,0.974,0.85,0.944,0.961,0.9
PA,0.703,0.514,0.971,0.77,0.366,0.994,0.408,0.982,0.415,0.722,0.547,0.22,0.753,0.948,0.665
FGA,0.737,0.784,0.949,0.897,0.83,0.962,1.0,0.828,0.823,0.923,0.862,0.825,0.89,0.791,0.864
PTA,0.875,0.45,0.8,0.803,0.491,0.838,0.875,0.705,0.345,0.9,0.522,0.375,0.652,0.7,0.666
RTA,0.636,0.536,0.828,0.685,0.576,0.859,0.875,0.905,0.404,0.947,0.602,0.429,0.731,0.609,0.687
FTA,0.737,0.489,0.814,0.739,0.53,0.848,0.875,0.793,0.372,0.923,0.559,0.4,0.689,0.651,0.673
