,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,8.0,396.0,30.0,76.0,277.0,160.0,48.0,92.0,735.0,40.0,260.0,1437.0,364.0,40.0,283.071
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.802,0.997,0.994,0.899,0.998,1.0,0.991,0.877,0.779,0.974,0.847,0.943,0.961,0.899
PA,0.676,0.548,0.971,0.819,0.468,0.997,0.408,0.994,0.471,0.722,0.851,0.316,0.399,0.948,0.685
FGA,0.737,0.807,0.949,0.897,0.819,0.962,1.0,0.843,0.819,0.923,0.883,0.815,0.877,0.791,0.866
PTA,0.875,0.47,0.8,0.842,0.498,0.85,0.875,0.761,0.392,0.9,0.558,0.384,0.648,0.7,0.682
RTA,0.636,0.55,0.828,0.719,0.585,0.872,0.875,0.946,0.46,0.947,0.614,0.445,0.738,0.609,0.702
FTA,0.737,0.507,0.814,0.776,0.538,0.861,0.875,0.843,0.423,0.923,0.585,0.412,0.69,0.651,0.688
