,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,8.0,398.0,30.0,76.0,282.0,160.0,48.0,104.0,727.0,42.0,268.0,1443.0,356.0,40.0,284.429
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.8,0.997,0.994,0.893,0.998,1.0,0.993,0.891,0.779,0.973,0.853,0.958,0.961,0.901
PA,0.703,0.075,0.971,0.843,0.483,0.99,0.408,0.981,0.418,0.721,0.864,0.239,0.784,0.948,0.673
FGA,0.737,0.793,0.949,0.897,0.822,0.962,1.0,0.798,0.829,0.875,0.861,0.819,0.899,0.791,0.859
PTA,0.875,0.477,0.8,0.829,0.496,0.838,0.875,0.635,0.369,0.833,0.552,0.397,0.66,0.7,0.667
RTA,0.636,0.562,0.828,0.708,0.593,0.859,0.875,0.892,0.428,0.921,0.627,0.462,0.734,0.609,0.695
FTA,0.737,0.516,0.814,0.764,0.541,0.848,0.875,0.742,0.396,0.875,0.587,0.427,0.695,0.651,0.676
